prefilter_suggestion,prefilter_reason,Include_Title_Abstract,Exclusion_Reason,id,doi,title,abstract,keywords,venue,year,block,tool_type,method_class,sources_found
CHECK,ET signal + off-topic token (engineer-to-order (manufacturing)),,,https://openalex.org/W3098919463,10.31842/jurnal-inobis.v2i4.113,Analisis Kinerja Rantai Pasok dengan Metode SCOR dan Simulasi Sistem Diskrit: Studi Kasus Produk Engineer-to-Order (ETO) di PT. Boma Bisma Indra (Persero),"Analisis rantai pasok merupakan sebuah aktivitas menganalisa dan merancang ulang kondisi rantai pasok untuk mendapatkan hasil yang lebih optimal. Penelitian terkait analisis rantai pasok belum banyak membahas tentang perusahaan berjenis Engineer-to-Order (ETO), dimana tipe produk yang dihasilkan sangat spesifik menyesuaikan permintaan konsumen. Salah satu upaya untuk mengoptimalkan rantai pasok adalah dengan menilai kinerja perusahaan. Supply Chain Operation Reference (SCOR) merupakan suatu instrumen penilaian kinerja yang mendefinisikan setiap proses dalam rantai pasok dan mengelompokkan kinerja masing-masing proses dalam beberapa metrik. Peningkatan kinerja rantai pasok pada perusahaan ETO membutuhkan model yang komprehensif dan dinamis, sehingga dipilihlah metode simulasi sistem diskrit untuk menguji dan memvalidasi konfigurasi dan perbaikan berdasarkan metode SCOR. Penelitian ini menggunakan studi kasus perusahaan berjenis ETO dengan sample order produk tahun 2019 berupa particle filter. Berdasarkan pengukuran manajemen rantai pasok dengan metode SCOR diperoleh nilai akumulasi metrik kinerja Reliability berupa Perfect Order Fulfillment dan metrik kinerja Responsiveness berupa Order Fulfillment Cycle Time. Perbaikan dengan simulasi sistem diskrit menggunakan software ARENA cukup meningkatkan performa rantai pasok berupa perbaikan waktu siklus disertai penambahan tenaga kerja.&#x0D; &#x0D; Kata kunci: Kinerja, Rantai pasok, Simulasi sistem diskrit",Mathematics; Engineering,INOBIS Jurnal Inovasi Bisnis dan Manajemen Indonesia,2019,ETo_Software_Tools,Desktop / generic software,Non-deterministic,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W7162757485,10.62710/ha533r26,Pengaruh Profesionalisme dan Etos Kerja terhadap Kinerja ASN melalui Komitmen pada Dinas Pendidikan Maluku Barat Daya,"This study aims to analyze the influence of professionalism and work ethic on the performance of Civil Servants (ASN), with commitment serving as a mediating variable at the Education and Culture Office of Southwest Maluku Regency. The study is motivated by the importance of improving ASN performance in public service institutions through strengthening professional attitudes, work ethic, and organizational commitment. The research employed a quantitative approach using the Partial Least Square (PLS) method with SmartPLS 3.0 software as the analytical tool. The sample consisted of 40 permanent ASN selected through purposive sampling techniques. The findings reveal that professionalism has a significant effect on commitment, although it does not directly influence ASN performance. Similarly, work ethic significantly affects commitment but does not directly affect ASN performance. Furthermore, commitment is proven to significantly mediate the relationship between professionalism and work ethic on ASN performance. These results indicate that improving professionalism and work ethic alone is insufficient to enhance ASN performance unless accompanied by strong organizational commitment. Therefore, commitment plays a strategic role in strengthening employee performance within government institutions and supporting the achievement of organizational goals effectively and sustainably.",Work ethic; Nonprobability sampling; Organizational commitment; Affect (linguistics); Government (linguistics); Organizational culture; Sample (material); Work (physics),Jurnal Ragam Pengabdian,2026,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,ET signal + off-topic token (engineer-to-order (manufacturing)),,,2-s2.0-85081553468,10.1007/978-3-030-31154-4_44,Design Optimization: Tools and Methods for ETO Products,"The design of Engineer-To-Order products needs tools and methods for reducing time and cost during the phase of the quotation preparation. Modularization is one of the more applied design methods for ETO systems; however, it is necessary to integrate traditional tools with practices of design optimization to improve the development of a proposal. Even if commercial design tools for modeling specific types of engineering systems are available, the application of design optimization is still based on the use of tools not integrated with each level of the design phases. Moreover, these tools often require software customization. The integration of geometrical modeling, simulations, analysis, and optimization concerns the interaction between different tools. This paper describes an approach to support the Multi-Object Optimization related to the design of complex ETO systems with a focus on the oil & gas context. In this context, Genetic Algorithms and Constraint Satisfaction Problems are introduced as tools to support the design optimization of steel structures. The approach includes the employment of different and integrated tools throughout the design phases. This paper also shows a collection of tools to support the different levels for the design of different ETO products during the preparation of an offer related to proposal submission.",Design optimization;Design tools and methods;Engineered-To-Order;Oil & gas,Lecture Notes in Mechanical Engineering,2020,ETo_Software_Tools,Desktop / generic software,Non-deterministic,openalex;scopus
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4362586027,10.54371/jiip.v6i4.1851,Pengaruh Tingkat Pendidikan dan Pengalaman Kerja terhadap Etos Kerja Karyawan,"Sumber daya manusia (SDM) ialah faktor yang sangat berarti untuk memastikan keberhasilan perusahaan, sebab manusia ialah suatu makhluk yang memiliki pikiran, kebutuhan, perasaan, serta harapan tertentu. Di dalam sebuah perusahaan biasanya terdapat karyawan dengan latar belakang tingkat pendidikan yang berlainan dan pengetahuan yang berlainan, baik yang baru memulai dunia kerja ataupun yang telah berpengalaman kerja sebelumnya. Tujuan dari riset ini adalah dalam menelusuri pengaruh pengalaman kerja dan tingkat pendidikan pada etos kerja pegawai. Riset ini mempergunakan metode kuantitatif. Pada riset ini populasinya ialah semua pegawai PT. Nikkatsu Elektrik Works yang berjumlah 295 orang. Sampel pada riset ini dihitung dengan mempergunakan persamaan slovin dan hasilnya dengan jumlah 170 responden. Pengumpulan data mempergunakan kuesioner dan terlebih dahulu dilaksanakan uji coba reliabilitas dan validitas, pengujian asumsi klasik yang melingkupi pengujian normalitas, pengujian multikolinearitas, pengujian heterokedastisitas serta dilanjutkan dengan uji linearitas berganda, uji model F, koefisien determinasi dan uji hipotesis (Uji T) dengan bantuan software IBM SPSS. Temuan dari riset memperlihatkan bahwa tingkat pendidikan tidak mempengaruhi signifikan pada etos kerja dan pengalaman kerja mempengaruhi pada etos kerja.",Humanities; Mathematics; Art,JIIP - Jurnal Ilmiah Ilmu Pendidikan,2023,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4403516331,10.47134/pjase.v1i4.3015,Pengaruh Etos Kerja dan Disiplin Kerja Terhadap Kinerja Flight Coordinator dalam Mencapai On Time Performance (OTP) Maskapai Malaysia Airlines Di Pt. Jasa Angkasa Semesta Bandar Udara Internasional Soekarno Hatta Cengkareng,"Untuk menunjang ketepatan waktu dalam sebuah penerbangan dibutuhkan kinerja yang baik dari para petugas. Kinerja yang berkualitas memiliki dampak positif bagi perusahaan maupun penerbangan tersebut. Kinerja tersebut merujuk pada keberhasilan seseorang dalam menjalankan tanggung jawabnya. Kinerja yang baik tersebut dipengaruhi oleh beberapa faktor diantaranya etos kerja dan disiplin kerja. Adanya etos kerja dan disiplin kerja yang tinggi dapat menyelesaikan seluruh pekerjaan dengan cepat dan tepat. Penelitian ini menggunakan metode kuantitatif, peneliti menggumpulan data melalui penyebaran kuesioner serta pengumpulan dokumen lainnya. Data yang telah terkumpul kemudian diolah menggunkan software SPSS 26.0. Hasil penelitian menyimpulkan bahwa etos kerja secara parsial memiliki pengaruh signifikan terhadap kinerja flight coordinator dengan nilai signifikan sebesar 0,044&lt; 0,05 dan dinyatakan bahwa (Ha1) diterima.Sama halnya dengan disiplin kerja yang secara parsial memiliki pengaruh terhadap kinerja flight coordinator dengan nilai signifikan sebesar 0,014&lt; 0,05 dan dinyatakan (Ha2) diterima. Secara simultan etos kerja dan disiplin kerja berpengaruh signifikan terhadap kinerja flight coordinator, dengan nilai signfiikan sebesar 0,002&lt;0,05 dan dinyatakan (Ha3) diterima dan (Ho3) ditolak.",Business administration; Physics; Humanities; Mathematics; Business; Art,Indonesian Journal of Aviation Science and Engineering,2024,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4406407547,10.24967/dikombis.v3i1.3588,PENGARUH DISIPLIN KERJA DAN ETOS KERJA TERHADAP KINERJA PEGAWAI DI PT. BANK PEMBANGUNAN DAERAH LAMPUNG,"Tujuan dari Penelitian ini adalah untuk mengetahui pengaruh disiplin kerja dan etos kerja terhadap kinerja pegawai di PT. Bank Pembangunan Daerah Lampung. Penelitian ini menggunakan metode penelitian kuantitatif yaitu metode analisis dengan angka-angka yang dapat dihitung maupun diukur, dan dalam prosesnya menggunakan alat bantu statistik yang diolah menggunakan aplikasi software Statistical Product and Service Solution (SPSS) versi 21. Analisis yang digunakan adalah analisis regresi linier berganda yaitu analisis yang bertujuan untuk mengetahui ada tidaknya hubungan ketergantungan, dan arah hubungan ketergantungan antara dua atau lebih variabel bebas atau independen (X) dengan variabel terikat atau dependen (Y) apakah positif atau negatif. Penelitian ini menggunakan 89 responden. Berdasarkan hasil analisis data ditemukan terdapat pengaruh Disiplin Kerja dan Etos Kerja secara bersama-sama terhadap Kinerja pegawai di PT. Bank Pembangunan Daerah Lampung yang dibuktikan hasil perhitungan uji Fhitung memperoleh hasil 38.132 jauh lebih besar dari nilai Ftabel 3,087. Besarnya pengaruh Disiplin Kerja dan Etos Kerja secara bersama-sama terhadap Kinerja pegawai sebesar 78,4% dan sisanya sebesar 21,6% dipengaruhi oleh faktor lain diluar penelitian.",Business administration; Business,Dikombis Jurnal Dinamika Ekonomi Manajemen dan Bisnis,2024,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W7125934064,10.31602/al-kalam.v13i1.20576,"PENGARUH KOMPETENSI, ETOS KERJA, DAN DISIPLIN KERJA TERHADAP KINERJA PEGAWAI DINAS PENGENDALIAN PENDUDUK, KELUARGA BERENCANA, PEMBERDAYAAN PEREMPUAN DAN PERLINDUNGAN ANAK KABUPATEN PASER","ABSTRACT. This study aims to analyze the influence of competence, work ethic, and work discipline on employee performance at the Department of Population Control, Family Planning, Women's Empowerment, and Child Protection of Paser Regency. The research method uses a quantitative approach with a saturated sampling technique on 63 employees as respondents. The data analysis technique uses multiple linear regression with the help of SPSS software. The results of the study indicate that simultaneously competence, work ethic, and work discipline have a significant effect on employee performance with a significance value of 0.000 &lt; 0.05. Partially, competence has a significant effect with a significance value of 0.023, work ethic has a significant effect with a significance value of 0.027, and work discipline has a significant effect with a significance value of 0.041. Competence is the most dominant variable affecting employee performance with a beta coefficient value of 0.449 (44.9%). This finding indicates that increasing competence, work ethic, and work discipline simultaneously can optimize employee performance in providing public services in the fields of population control, family planning, women's empowerment, and child protection.",Competence (human resources); Population; Value (mathematics); Work performance; Regression analysis; Significant difference; Work motivation; Data collection,Al-KALAM JURNAL KOMUNIKASI BISNIS DAN MANAJEMEN,2026,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4376855509,10.19109/yonetim.v5i2.15208,Pengaruh Etos Kerja Terhadap Kinerja Pegawai Pada Pegawai Kementerian Agama Provinsi Sumatera Selatan,"This research seeks to elaborate on the work ethic of employees in an institution and the impact it has on their performance. The purpose of this study was to determine the effect of work ethic on employee performance in the regional office of the Ministry of Religion, South Sumatra province. This research is a field research (field research) with a quantitative approach. Data collection and survey techniques were carried out by distributing questionnaires. Furthermore, sampling was carried out by using non-probability sampling technique; saturated sampling, which is a sampling technique that makes the entire population as a sample totaling 44 people. Data were analyzed by Instrument Test (Validity and Reliability Test), Simple linear regression analysis, Basic assumption test and Hypothesis Test (t test and Determination Coefficient Test) using SPSS version 23 software tools. The results showed that there was an effect of work ethic on performance employee. It is proven that the R Square value in the table is 0.114 which indicates that the Employee Performance variable (Y) is influenced by the Work Ethics variable (X) of 11.4% and the remaining 88.6% is influenced by other factors not examined such as motivation and others.",Data collection; Test (biology); Work ethic; Statistics; Population; Sampling (signal processing); Psychology; Christian ministry; Sample (material); Survey methodology; Mathematics; Work (physics); Engineering; Sociology; Political science; Demography; Biology; Physics; Law; Mechanical engineering,Yonetim Jurnal Manajemen Dakwah,2022,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4376625465,10.33373/jeq.v8i2.3818,"PENGARUH KOMUNIKASI, DISIPLIN KERJA, ETOS KERJA, DAN LINGKUNGAN KERJA FISIK TERHADAP KINERJA KARYAWAN PT. ESUN INTERNASIONAL UTAMA INDONESIA BATAM","Penelitian ini bertujuan untuk mengetahui pengaruh komunikasi, disiplin kerja, etos kerja, dan lingkungan kerja fisik baik secara parsial maupun simultan terhadap kinerja karyawan PT. Esun Internasional Utama Indonesia Batam. Jenis data yang digunakan adalah data kuantitatif. Teknik pengumpulan data menggunakan kuesioner. Pengolahan data menggunakan software SPSS 20. Populasi pada penelitian ini sejumlah 173 orang dengan pengambilan sampel menggunakan rumus slovin didapat 63 sampel. Hasil penelitian ini menunjukan bahwa: komunikasi berpengaruh negatif dan tidak signifikan dengan nilai t hitung -2,610 t tabel 1,671 dan sig. 0,083 0,05, disiplin kerja berpengaruh positif dan signifikan dengan nilai nilai t hitung 2,111 t tabel 1,671 dan sig. 0,038 0,05, etos kerja berpengaruh positif dan signifikan dengan nilai 3,382 t tabel 1,671 dan sig. 0,001 0,05, Lingkungan kerja fisik berpengaruh positif dan signifikan dengan nilai hitung 2,008 t tabel 1,671 dan sig. 0,049 0,05. Hasil uji F menunjukkan bahwa variabel Komunikasi, Disiplin Kerja, Etos Kerja dan Lingkungan Kerja Fisik secara simultan berpengaruh signifikan terhadap variabel Kinerja Karyawan dengan nilai sebesar Fhitung 9,104 Ftabel 2,53 dan nilai signifikan 0,000b 0,05.",Mathematics; Physics; Business administration; Business,EQUILIBIRIA Jurnal Fakultas Ekonomi,2021,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W3189706597,10.37366/ekomabis.v2i02.220,Pengaruh Pendidikan dan Pelatihan terhadap Etos Kerja serta Implikasinya terhadap Kinerja,"Penelitian bertujuan mengetahui pengaruh pendidikan dan pelatihan terhadap etos kerja serta implikasinya terhadap kinerja karyawan. Objek penelitian adalah karyawan yang berada di Kabupaten Bekasi. Sampel penelitian sebanyak 100 karyawan sebagai responden yang mengisi kuesioner. Analisis menggunakan model perbandingan struktural (SEM) dengan program perangkat lunak Smart PLS. Hasilnya menunjukan bahwa pendidikan dan pelatihan berpengaruh terhadap etos kerja, serta etos kerja berpengaruh terhadap kinerja karyawan. Dengan pendidikan dan pelatihan yang optimal maka akan meningkatkan etos kerja sehingga kinerja karyawan pun semakin meningkat.&#x0D; This study aims to determine the effect of education and training on work ethic and its implications for employee performance. The object of research is employees who are in Bekasi Regency. The research sample was 100 employees as respondents who filled out the questionnaire. The analysis uses a structural comparison model (SEM) with the Smart PLS software program. The results show that education and training affect work ethic, and work ethic affects employee performance. With optimal education and training, it will improve work ethic so that employee performance will increase.",Business administration; Psychology; Work ethic; Work motivation; Work (physics); Business; Engineering; Mechanical engineering,EKOMABIS Jurnal Ekonomi Manajemen Bisnis,2021,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4296251301,10.32505/ihtiyath.v6i1.3912,"PENGARUH SOSIAL BUDAYA, LATAR BELAKANG PENDIDIKAN, PENGALAMAN KERJA, DAN MOTIVASI KERJA TERHADAP ETOS KERJA KARYAWAN BANK SYARIAH INDONESIA KCP TULUNGAGUNG SUDIRMAN","This study aims to determine the effect of the socio-cultural, educational background, work experience, and work motivation on the work ethic of employees of Bank Syariah Indonesia KCP Tulungagung Sudirman, both partially or simultaneously. This research method is a quantitative study, the research sample is all employees of Bank Syariah Indonesia KCP Tulungagung Sudirman, totaling 28 employees. The sampling technique used is non-probability sampling using a saturated sample technique, where all the population is sampled. Data collecting using a questionnaire that has been tested for validity and reliability. The data analysis method used multiple linear regression analysis using of SPSS 16.0 software. The results showed that partially socio-cultural had a positive and insignificant effect on work ethic, educational background had a negative and insignificant effect on work ethic, work experience had a positive and significant effect on work ethic, and work motivation had a positive and significant effect on work ethic. Meanwhile, it is simultaneously stated that socio-cultural, educational background, work experience, and work motivation simultaneously affect the work ethic of BSI KCP Tulungagung Sudirman employees.",Psychology; Sample (material); Work motivation; Work ethic; Business administration; Work (physics); Data collection; Social psychology; Applied psychology; Statistics; Mathematics; Engineering; Business,Ihtiyath Jurnal Manajemen Keuangan Syariah,2022,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W2898688518,10.30742/equilibrium.v14i1.408,PENGARUH KEBIJAKAN PERUSAHAAN TERHADAP ETOS KERJA KARYAWAN DENGAN KOMPENSASI SEBAGAI VARIABEL INTERVENING (Studi Kasus Karyawan KAP Drs. Chandra Dwiyanto di Surabaya),"The existence of the theory of compensation from Dessler in the concept of factors that affect compensation are 3 factors: internal organization, personal employees and external companies. In this case the internal factor of the organization which includes the funds of the organization and the union, the union is an example of one company policy that can affect employee work ethic. If the company's policy of overtime, salary increases and holiday allowances (THR) in accordance with the provisions of the Workers Act, indirectly can improve employee performance spirit. Based on the compensation theory, this study tries to test the indirect relationship between company policy and employee work ethic by entering the compensation variable as intervening variable. The population of this research is all employees of Public Accountant Firm Chandra, amounting to 41 people. This research uses quantitative research method with Path Analysis analysis technique whose test is done with software SPSS 13.0 The result of the analysis concludes that compensation as intervening variable mediates to the influence of company policy on employee work ethic. Based on these results, the hypothesis of this study is evident",Business administration; Intervening variable; Compensation (psychology); Salary; Overtime; Business; Population; Path analysis (statistics); Management; Accounting; Psychology; Economics; Social psychology; Labour economics; Political science; Sociology; Law; Mathematics; Demography; Statistics,Equilibrium Jurnal Ekonomi-Manajemen-Akuntansi,2018,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4412998428,10.31004/riggs.v4i2.1912,Pengaruh Etos Kerja Islam Dan Upah Terhadap Loyalitas Pegawai Yayasan Pendidikan Pondok Pesantren Al Hasan Ciamis,"Penelitian ini bertujuan untuk mengetahui pengaruh etos kerja Islam dan upah terhadap loyalitas pegawai di Yayasan Pendidikan Pondok Pesantren Al Hasan Ciamis. Penelitian ini menggunakan pendekatan kuantitatif dengan metode deskriptif dan verifikatif. Sampel penelitian sebanyak 96 responden dipilih melalui teknik total sampling. Data diperoleh melalui kuesioner dan dianalisis menggunakan uji validitas, reliabilitas, asumsi klasik, regresi linier berganda, uji t, uji F, serta koefisien determinasi menggunakan bantuan software SPSS 25. Hasil penelitian menunjukkan bahwa secara parsial, etos kerja Islam berpengaruh positif dan signifikan terhadap loyalitas pegawai (nilai signifikansi 0,002 &lt; 0,05), begitu juga dengan upah (nilai signifikansi 0,017 &lt; 0,05). Secara simultan, kedua variabel tersebut juga berpengaruh signifikan dengan nilai Fhitung sebesar 18,042 &gt; Ftabel 3,09 dan signifikansi 0,000 &lt; 0,05. Nilai koefisien determinasi (R²) sebesar 0,280 menunjukkan bahwa 28% variasi loyalitas pegawai dijelaskan oleh etos kerja Islam dan upah, sedangkan sisanya 72% dipengaruhi oleh faktor lain yang tidak diteliti dalam penelitian ini. Kata Kunci: Etos Kerja Islam, Upah, Loyalitas Pegawai",Theology; Philosophy,RIGGS Journal of Artificial Intelligence and Digital Business,2025,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W3042209614,10.29303/jseh.v6i1.68,Pengaruh Human Relation Dan Kondisi Lingkungan Terhadap Etos Kerja Karyawan Pada Kantor Unit Layanan Pengadaan (ULP) Woha,"The reason for this research is to know the role of profitability as an intervening variable in influencing liquidity and leverage on dividend policy. The population used is manufacturing companies in the industrial sector of goods and consumption listed on the Indonesia Stock Exchange in the period 2017 – 2020. The method used in determining the sample uses the purposive sampling method. It was obtained that 20 companies were observed for 4 years so the total observed data was 80. Using data analysis techniques, namely path analysis, outlier test, classical assumption test, hypothesis testing and , detection of mediating effect (Sobel test) with the help of tools SPSS data analysis software. The results of the study explain that liquidity and leverage have a positive and significant effect on profitability. Liquidity and Leverage have no effect on dividend policy, while profitability has a positive and significant effect on dividend policy. Profitability is able to mediate the effect of the relationship between Liquidity and Leverage on Dividend Policy through an indirect effect that is greater than the direct effect and is also evidenced by using the Sobel Test.",Sobel test; Market liquidity; Profitability index; Stock exchange; Leverage (statistics); Population; Econometrics; Dividend policy; Dividend; Intervening variable; Nonprobability sampling; Path analysis (statistics); Business; Economics; Statistics; Business administration; Mathematics; Monetary economics; Finance,JURNAL SOSIAL EKONOMI DAN HUMANIORA,2020,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,ET signal + off-topic token (engineer-to-order (manufacturing)),,,2-s2.0-84982690159,10.1016/j.ijpe.2016.07.019,Tactical capacity planning in a real-world ETO industry case: A robust optimization approach,"Uncertainty has a significant impact on the stability and performance of engineering-to-order (ETO) production systems by affecting due date achievement, efficient resource allocation and the usage of nonregular working force. Proactive planning approaches consider information about uncertainty to protect the generated plans against future disruption. Likewise, this paper´s goal is to propose and apply a robust optimization model that addresses a tactical capacity planning problem by incorporating uncertainties regarding the duration of production processes. The model aims at solution robustness (or stability) and intends to enhance and support the decision-making process of a real-world ETO industrial setting. Monte Carlo simulation is employed to assess the simultaneous impact of multiple constraints on the robustness of the generated solutions. The computational results are adherent to the industry setting studied and show the effects of the conservatism level on the optimal values of the generated plans. To the best of our knowledge, this is the first robust optimization model for tactical capacity planning that explicitly addresses the ETO context.",Decision support system;Engineer-to-order;Mathematical modelling;Uncertainty,International Journal of Production Economics,2016,ETo_Software_Tools,Crop model / irrigation DSS,Non-deterministic,scopus
CHECK,ET signal + off-topic token (engineer-to-order (manufacturing)),,,2-s2.0-34547687748,10.1109/cscwd.2006.253006,Service-oriented infrastructure for collaborative product design in ETO enterprises,"Engineer-to-Order (ETO) products have some unique characteristics on their production process and supply chain models. These characteristics require that their design process should not only export product structure and production procedure information, but also consider other objectives, e.g., feasibility of production planning, cost, quality, service, etc. Different roles, including Customers, suppliers, and related departments in ETO enterprises, should be integrated closely for frequent collaborations by exchanging mass of data during design process. To address this issue, in this paper we introduce a web service based infrastructure for ETO product collaborative design, in which related product design systems, e.g., CAD, CAPP and PDM, and related business information systems, e.g., ERP, are all partially encapsulated as basic web services, and according to several primitive service interoperability patterns, these services are collaborated together to realize data and process integration with the aid of Enterprise Service Bus (ESB), consequently forms an integrated design ecosystem, to improve design efficiency for ETO products. © 2006 IEEE.",Collaborative design;CSCW;Engineering-to-order (ETO);Service-oriented computing,Proceedings 2006 10th International Conference on Computer Supported Cooperative Work in Design Cscwd 2006,2006,ETo_Software_Tools,Web tool / online / API,Unclassified,openalex;scopus
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W3159724604,10.37481/sjr.v4i2.283,"PENGARUH ROTASI JABATAN, ETOS KERJA, DAN MOTIVASI KERJA TERHADAP KINERJA KARYAWAN PT KHARISMA SURYA SEMESTA","This research aims to provide empirical evidence for the impact of job rotation, professional ethics and work motivation on employee performance. The subjects of this study are employees working at PT. Kharisma Surya Semesta. The method used in this study is the use of survey and interview methods, as well as the method of distributing questionnaires (the sampling technique of this study uses census technique), which means that the interviewees used are all employees working at PT Kharisma Surya Semesta. Data collection was conducted from October 2020 to July 2020. The data analysis methods used in this study are descriptive analysis and verification analysis. The data processing in this study used structural equation modeling (SEM) analysis and the partial least squares (PLS) alternative method using Smart PLS 3.0 software. The research results provide empirical evidence that shows that job rotation, professional ethics and work motivation have an impact of 75,7% on employee performance. Further test results prove that job rotation, professional ethics and work motivation have a positive and significant impact on employee performance.",Psychology; Business administration; Work motivation; Structural equation modeling; Data collection; Work (physics); Mathematics; Statistics; Engineering; Business; Mechanical engineering,SCIENTIFIC JOURNAL OF REFLECTION Economic Accounting Management and Business,2021,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W3004562623,10.2568/yum.v2i3.544,PENGARUH LOCUS OF CONTROL DAN BEBAN KERJA TERHADAP KINERJA PEGAWAI MELALUI ETOS KERJA PADA BADAN PENDAPATAN DAERAH PROVINSI SULAWESI SELATAN,"ABSTRAK Penelitian ini bertujuan untuk mengetahui dan menganalisis mengenai pengaruh secara langsung dan tidak langsung dari Locus Of Control , beban kerja terhadap kinerja pegawai melalui etos kerja, penelitian ini dilaksanakan pada kantor Badan Pendapatan Daerah (Bapenda) Provinsi Sulawesi Selatan, dengan sampel yang digunakan sebanyak 100. Alat analisis yang digunakan adalah analisis jalur dengan menggunakan software SPSS.21. Hasil penelitian ini menunjukkan bahwa secara langsung pengaruh locus of control terhadap etos kerja tidak berpengaruh signifikan, beban kerja terhadap etos kerja berpengaruh signifikan, locus of control terhadap kinerja pegawai tidak berpengaruh signifikan, beban kerja terhadap kinerja pegawai tidak berpengaruh signifikan dan etos kerja terhadap kinerja berpengaruh signifikan. Sedangkan untuk pengaruh tidak langusung ditemukan hasil bahwa locus of control terhadap kinerja pegawain melalui etos kerja tidak berpengaruh signifikan kemudian lingkungan beban kerja terhadap terhadap kinerja pegawai melalui etos kerja berpengaruh signifikan. Kata Kunci: Budaya Organisasi, Lingkungan Kerja, Motivasi, Etos Kerja.",Business administration; Psychology; Business,YUME : Journal of Management,2020,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
CHECK,no clear ET/irrigation signal in title/abstract,,,https://openalex.org/W4386257422,10.55598/jmk.v15i2.43060,"PENGARUH IKLIM ORGANISASI, ORGANIZATIONAL CITIZENSHIP BEHAVIOR (OCB) DAN ETOS KERJA TERHADAP KINERJA PEGAWAI (STUDI KASUS RSUD dr.H.L.M BAHARUDDIN, M.Kes Kab MUNA)","This study aims to (1) knowing influence organizational climate on employee performance staff at dr. H.L.M Baharuddin M.Kes, kab. Muna. (2) knowing the effect of organizational citizenship behavior (ocb) on the performance of employee at dr. H.L.M Baharuddin M.Kes, kab. Muna. (3) knowing the effect of work ethic on employee performance at dr. H.L.M Baharuddin M.Kes, kab. Muna. The objects in this study were nurses at dr. H.L.M Baharuddin M.Kes, Kab. Muna. However, the sampling method was purposive sampling using the slovin formula to obtain a sample of 71 nurses. Data collection methods in this study using questionnaires and documentation. Research data were analyzed using multiple linear regression through SPSS 25 Software. The results showed that (1) partially organizational climate has a significant positive effect on employee performance at dr. H.L.M Baharuddin M.Kes. (2) partially organizational citizenship behavior significant positive effect on employee performance at dr. H.L.M Baharuddin M.Kes. (3) partially work ethic significant positive effect on employee performance at dr. H.L.M Baharuddin M.Kes.",Organizational citizenship behavior; Nonprobability sampling; Psychology; Business administration; Citizenship; Data collection; Organisation climate; Management; Social psychology; Mathematics; Statistics; Sociology; Political science; Business; Demography; Organizational commitment; Population; Law,Jurnal Manajemen dan Kewirausahaan,2023,ETo_Software_Tools,Desktop / generic software,Unclassified,openalex
